,time,Agent(0),Agent(1),Agent(2),Agent(3),Agent(4),Agent(5),Agent(6),Agent(7)
0,0.0,"(θ(0), ϕ), 100.0%, time=0.00 ","(θ(0), ϕ), 100.0%, time=0.00 ","(θ(0), ϕ), 100.0%, time=0.00 ","(θ(0), ϕ), 100.0%, time=0.00 ","(θ(0), ϕ), 100.0%, time=0.00 ","(θ(0), ϕ), 100.0%, time=0.00 ","(θ(0), ϕ), 100.0%, time=0.00 ","(θ(0), ϕ), 100.0%, time=0.00 "
1,1.0,"(θ(3), ϕ), 100.0%, time=0.00 [T]","(θ(3), ϕ), 100.0%, time=0.00 [T]","(θ(3), ϕ), 100.0%, time=0.00 [T]","(θ(3), ϕ), 100.0%, time=0.00 [T]","(θ(3), ϕ), 100.0%, time=0.00 [T]","(θ(3), ϕ), 100.0%, time=0.00 [T]","(θ(3), ϕ), 100.0%, time=0.00 [T]","(C(2), c), 100.0%, time=0.00 [T]"
2,2.0,"(θ(3), ϕ), 100.0%, time=1.00 [T]","(θ(3), ϕ), 100.0%, time=1.00 [T]","(θ(3), ϕ), 100.0%, time=1.00 [T]","(θ(3), ϕ), 100.0%, time=1.00 [T]","(θ(3), ϕ), 100.0%, time=1.00 [T]","(θ(3), ϕ), 100.0%, time=1.00 [T]","(θ(3), ϕ), 100.0%, time=1.00 [T]","(C(2), c), 100.0%, time=1.00 [T]"
3,3.0,"(θ(3), ϕ), 100.0%, time=2.00 [T]","(θ(3), ϕ), 100.0%, time=2.00 [T]","(θ(3), ϕ), 100.0%, time=2.00 [T]","(θ(3), ϕ), 100.0%, time=2.00 [T]","(θ(3), ϕ), 100.0%, time=2.00 [T]","(θ(3), ϕ), 100.0%, time=2.00 [T]","(θ(3), ϕ), 100.0%, time=2.00 [T]","(C(2), c), 100.0%, time=2.00 [T]"
4,4.0,"(θ(3), ϕ), 100.0%, time=3.00 [T]","(θ(3), ϕ), 100.0%, time=3.00 [T]","(θ(3), ϕ), 100.0%, time=3.00 [T]","(θ(3), ϕ), 100.0%, time=3.00 [T]","(θ(3), ϕ), 100.0%, time=3.00 [T]","(θ(3), ϕ), 100.0%, time=3.00 [T]","(θ(3), ϕ), 100.0%, time=3.00 [T]","(C(2), c), 100.0%, time=3.00 [T]"
5,5.0,"(θ(3), ϕ), 100.0%, time=4.00 [T]","(θ(3), ϕ), 100.0%, time=4.00 [T]","(θ(3), ϕ), 100.0%, time=4.00 [T]","(θ(3), ϕ), 100.0%, time=4.00 [T]","(θ(3), ϕ), 100.0%, time=4.00 [T]","(θ(3), ϕ), 100.0%, time=4.00 [T]","(θ(3), ϕ), 100.0%, time=4.00 [T]","(C(2), c), 100.0%, time=4.00 [T]"
6,6.0,"(θ(3), ϕ), 100.0%, time=5.00 [T]","(θ(3), ϕ), 100.0%, time=5.00 [T]","(θ(3), ϕ), 100.0%, time=5.00 [T]","(θ(3), ϕ), 100.0%, time=5.00 [T]","(θ(3), ϕ), 100.0%, time=5.00 [T]","(θ(3), ϕ), 100.0%, time=5.00 [T]","(θ(3), ϕ), 100.0%, time=5.00 [T]","(C(2), c), 100.0%, time=5.00 [T]"
7,7.0,"(θ(3), ϕ), 100.0%, time=6.00 [T]","(θ(3), ϕ), 100.0%, time=6.00 [T]","(θ(3), ϕ), 100.0%, time=6.00 [T]","(θ(3), ϕ), 100.0%, time=6.00 [T]","(θ(3), ϕ), 100.0%, time=6.00 [T]","(θ(3), ϕ), 100.0%, time=6.00 [T]","(θ(3), ϕ), 100.0%, time=6.00 [T]","(C(2), c), 100.0%, time=6.00 [T]"
8,8.0,"(θ(3), ϕ), 100.0%, time=7.00 [T]","(θ(3), ϕ), 100.0%, time=7.00 [T]","(θ(3), ϕ), 100.0%, time=7.00 [T]","(θ(3), ϕ), 100.0%, time=7.00 [T]","(θ(3), ϕ), 100.0%, time=7.00 [T]","(θ(3), ϕ), 100.0%, time=7.00 [T]","(θ(3), ϕ), 100.0%, time=7.00 [T]","(C(2), c), 100.0%, time=7.00 [T]"
9,9.0,"(θ(3), ϕ), 100.0%, time=8.00 [T]","(θ(3), ϕ), 100.0%, time=8.00 [T]","(θ(3), ϕ), 100.0%, time=8.00 [T]","(θ(3), ϕ), 100.0%, time=8.00 [T]","(θ(3), ϕ), 100.0%, time=8.00 [T]","(θ(3), ϕ), 100.0%, time=8.00 [T]","(θ(3), ϕ), 100.0%, time=8.00 [T]","(C(2), c), 100.0%, time=8.00 [T]"
